id,name,platform_id,logo,description,created_at,website
28,"Bethesda Softworks LLC",6,https://images.igdb.com/igdb/image/upload//dcjztyaeikmvfsx4fl0x.png,"Bethesda Game Studios is the award-winning development studio known around the world for its groundbreaking work on The Elder Scrolls series. Creators of the 2006 Game of the Year, The Elder Scrolls IV: Oblivion, and 2008 Game of the Year, Fallout 3, and the 2011 Game of the Year, The Elder Scrolls V: Skyrim, Bethesda Game Studios has earned its reputation as one of the industry's most respected and accomplished game development studios.","2011-03-13 14:23:48.000000",http://bethsoft.com/
29,"Rockstar Games",6,https://images.igdb.com/igdb/image/upload//wcqgg7udjjtzxjsqfnfi.png,None,"2011-03-13 15:26:20.000000",http://www.rockstargames.com/
30,"Team Bondi",6,None,None,"2011-03-13 15:26:59.000000",None
31,"",0,None,None,"2017-03-23 13:05:31.614112",None
32,"Sierra On-Line",6,https://images.igdb.com/igdb/image/upload//bl5njhx9cgkayof3xg4n.png,None,"2011-03-13 15:30:47.000000",None
33,"",0,None,None,"2017-03-23 13:05:31.751157",None
34,"",0,None,None,"2017-03-23 13:05:31.753460",None
35,"",0,None,None,"2017-03-23 13:05:31.755318",None
36,"Frictional Games",3,https://images.igdb.com/igdb/image/upload//x4y8gpo8t4pvvscpaquz.png,None,"2011-03-14 04:49:03.000000",http://www.frictionalgames.com/
37,Capcom,20,https://images.igdb.com/igdb/image/upload//hcbqwbhbmrabsfk600zs.png,None,"2011-03-14 05:01:37.000000",http://www.capcom.com/
38,"Ubisoft Montreal",6,https://images.igdb.com/igdb/image/upload//dvqeaot5f8a9n2zvetiw.png,"We are the worldâs most important video game development studio, with 2400 dedicated employees. Ezio Auditore, Aiden Pearce, Jason Brody, they were all born and raised in Montreal. The Mile-End neighbourhood where our studio is located, is a huge source of inspiration for the worlds we create. This website is yet another way to show you who we are, why we love our jobs, and what drives us to provide heart-pounding experiences to our players year after year. So whether youâre here to find out more about the people behind your favorite adventures or youâre looking to join our world-class team, youâve come to the right place!","2011-03-14 05:34:49.000000",http://montreal.ubisoft.com/en
39,"Ubisoft Annecy",6,None,None,"2011-03-14 05:35:34.000000",None
40,"",0,None,None,"2017-03-23 13:05:32.493802",None
41,"Riot Games",78,None,None,"2011-03-14 06:15:22.000000",None
42,"Tencent Holdings Ltd",6,None,None,"2011-03-14 06:16:06.000000",None
43,"",0,None,None,"2017-03-23 13:05:32.515115",None
44,"Team Ico",8,https://images.igdb.com/igdb/image/upload//hgxhc8zsrphmm5ayqt7l.png,"Team ICO is a Japanese video game development team led by game designer Fumito Ueda. It is part of SCE Japan Studio's Product Development Department #1, and has developed the games Ico and Shadow of the Colossus, both for the PlayStation 2, and are currently developing the game The Last Guardian for the Playstation 4, slated to release in 2016. Their games are characterized by a very small but endearing and memorable cast, minimalist storytelling, atmospheric use of bloom and HDR lighting, careful attention to the soundtrack and the utilisation of sound in general, fictional spoken languages, a distinct art style, and strong animation. Their games are frequently cited as examples of art in video games.","2011-03-14 07:38:17.000000",None
45,"Sony Computer Entertainment",9,https://images.igdb.com/igdb/image/upload//djkfinra1pds0bnz83gt.png,"Now: Sony Computer Entertainment","2011-03-14 07:38:59.000000",None
46,"",0,None,None,"2017-03-23 13:05:33.042252",None
47,"Obsidian Entertainment",3,https://images.igdb.com/igdb/image/upload//mjnzr4cwxvnxkjj1srwv.png,"Obsidian Entertainment is an American role-playing video game developer founded in 2003 after the disestablishment of Interplay Productions' Black Isle Studios. Although it has created original intellectual property, Obsidian has mostly developed sequels to existing games, and many of their games are based on licensed properties.","2011-03-14 07:47:57.000000",http://www.obsidian.net/
48,"NetherRealm Studios",6,https://images.igdb.com/igdb/image/upload//dczduv3tefhmb7nqrqax.png,"NetherRealm Studios company was founded in 2010 replacing WB Games Chicago and Midway Games, which purchased assets in 2009 that were formerly owned by Midway Games Chicago after Midway filed for bankruptcy.

They are based in Chicago, Illinois.","2011-03-14 07:49:48.000000",http://www.netherrealm.com/
49,"",0,None,None,"2017-03-23 13:05:33.100330",None
50,"Warner Bros. Interactive Entertainment",6,https://images.igdb.com/igdb/image/upload//escw600i7w2whbmpggez.png,None,"2011-03-14 07:50:48.000000",http://www.wbgames.com/
51,"Blizzard Entertainment",6,https://images.igdb.com/igdb/image/upload//l9xwk37ap6xzjp4imoyh.png,"By focusing on creating well-designed, highly enjoyable entertainment experiences, Blizzard Entertainment has maintained an unparalleled reputation for quality since its inception.","2011-03-14 08:01:58.000000",http://blizzard.com
52,"LTI Gray Matter",6,None,None,"2011-03-14 08:11:06.000000",None
53,"Microsoft Game Studios",12,https://images.igdb.com/igdb/image/upload//nh9edxcticwfk9n8keht.png,None,"2011-03-14 08:11:42.000000",None
54,"TransGaming Technologies",6,None,None,"2011-03-14 08:14:21.000000",None
55,"Turtle Rock Studios",3,https://images.igdb.com/igdb/image/upload//bgjyl9vzlpgmd1awcdzn.png,None,"2011-03-14 08:35:16.000000",https://www.turtlerockstudios.com/
56,"Valve Corporation",3,https://images.igdb.com/igdb/image/upload//npiqdrnewkgshegnkca4.png,None,"2011-03-14 08:36:00.000000",http://www.valvesoftware.com/
57,"Certain Affinity",6,None,None,"2011-03-14 08:36:25.000000",None
58,"Mojang AB",3,https://images.igdb.com/igdb/image/upload//vewa4pfeszo8e9jncwex.png,"Mojang AB is a Swedish independent video game developer founded in May 2009. Mojang is best known for creating the popular independent game Minecraft, a free-to-build sandbox game.","2011-03-14 08:44:42.000000",https://mojang.com
59,"Blizzard North",6,https://images.igdb.com/igdb/image/upload//fc5ynjrizapwmtquao1t.png,"Blizzard North was the Bay Area division of Blizzard Entertainment, known for its Diablo series. The studio was originally based in Redwood City, California, before moving a short distance away to San Mateo, with Blizzard proper being based in Irvine, southern California.","2011-03-14 09:11:01.000000",None
60,"Climax Group",4,None,None,"2011-03-14 09:11:40.000000",None
61,Gameloft,42,https://images.igdb.com/igdb/image/upload//u12uusxupz9767dkldiv.png,None,"2011-03-14 09:28:31.000000",http://www.gameloft.com/
62,"Griptonite Games",5,https://images.igdb.com/igdb/image/upload//ni4o8vzrqy9ez2l3frss.png,None,"2011-03-14 09:29:19.000000",None
63,"Pandemic Studios",6,https://images.igdb.com/igdb/image/upload//ziqycyajcrnqh8hyibmk.png,None,"2011-03-15 05:17:22.000000",None
64,"Savage Entertainment",8,https://images.igdb.com/igdb/image/upload//eggcvvvqzxnymtkxfim8.png,None,"2011-03-15 05:24:15.000000",None
65,Luxoflux,6,None,None,"2011-03-15 05:35:39.000000",None
66,Activision,15,https://images.igdb.com/igdb/image/upload//i7pmwdmzp21xrceoqmlc.png,"For more than 30 years, Activision has been changing the way people play.  In the process, we have built one of the largest portfolios of recognized brands and today we are one of the most valuable interactive entertainment companies in the world.

Founded in 1979 as the first independent video game software developer and distributor, the company launched a series of multi-million unit selling titles in the early 1980s for the Atari 2600 including Pitfall, Kaboom! and River Raid.   And since then, Activision has created some of the most iconic and memorable game experiences of all time.","2011-03-15 05:37:23.000000",http://www.activision.com/
67,"Petroglyph Games",6,https://images.igdb.com/igdb/image/upload//ea5gwyejums1pfrqmcyc.png,None,"2011-03-15 05:41:21.000000",http://www.petroglyphgames.com/
68,"Ensemble Studios",6,https://images.igdb.com/igdb/image/upload//ac9x4xs8sqixqw1lqr5m.png,None,"2011-03-15 05:45:38.000000",http://www.ensemblestudios.com/
69,"Big Ape Productions",15,None,None,"2011-03-15 06:12:27.000000",None
70,Nintendo,37,https://images.igdb.com/igdb/image/upload//tglfbjdfbwjs6twvz6ga.png,"*Founded Sept 23 1889, not 1916; however date selector only goes back to 1916.","2011-03-15 06:21:30.000000",http://www.nintendo.com/
71,"Raven Software",6,https://images.igdb.com/igdb/image/upload//nfdwrfcz3jjgkcpkt8oy.png,"Raven Software is a market-leading and award-winning video game developer based in Middleton, Wisconsin. Since its inception in 1990, Raven's core has always been centered on visual excellence and exciting gameplay. With this focus, Raven has established a stability that few in the ever-changing video game industry have been able to achieve. As new technologies and trends continue to develop, Raven remains dedicated to surpassing new levels of quality in electronic gaming.","2011-03-15 08:09:31.000000",http://www.ravensoftware.com/
72,"Vicarious Visions",24,https://images.igdb.com/igdb/image/upload//czenyihz4ctoe9uywnwv.png,None,"2011-03-15 08:10:53.000000",http://www.vvisions.com/
73,"Aspyr Media",6,https://images.igdb.com/igdb/image/upload//pobzcae4758zn2bz3yy1.png,"Aspyr Media specializes in porting video games from Microsoft Windows to OS X and Linux.","2011-03-15 08:13:53.000000",http://www.aspyr.com/
74,"CyberFront Corporation",6,https://images.igdb.com/igdb/image/upload//bjpreh2lvoyzsvhq24r9.png,None,"2011-03-15 08:14:41.000000",None
75,"Factor 5",4,None,None,"2011-03-15 08:42:54.000000",None
76,"Ronin Entertainment",6,None,None,"2011-03-15 09:00:25.000000",None
77,"Totally Games",5,https://images.igdb.com/igdb/image/upload//ayhtgh53j9c8lz3d4rfj.png,None,"2011-03-15 09:17:53.000000",http://www.totallygames.com/
78,"Snowblind Studios",4,None,None,"2011-03-15 10:02:19.000000",None
79,"Magic Pockets",5,https://images.igdb.com/igdb/image/upload//ii8q1vhgaczqrztzhcv7.png,"Based in Torcy, France. It is one of the largest handheld video game developers in France. The company has developed more than 35 games on Nintendo's handheld systems.&#13;
&#13;
The studio managed to enter the Develop100 in 2010, being one of the world's most successful game studios according to Develop.","2011-03-15 10:05:11.000000",http://www.magicpockets.com/
80,"Vivendi Games",6,None,"Game publishing subsidiary of Vivendi. Renamed from Vivendi Universal Games in 2006, after Vivendi dropped the universal from it's name, and stopped publishing under it's own name. Had divisions like Blizzard entertainment and Sierra entertainment. Vivendi merged with Activision in 2008 to form Activision Blizzard, which took over publishing.","2011-03-15 10:06:02.000000",None
81,"Destination Software",20,None,None,"2011-03-15 10:06:39.000000",None
82,Atari,6,None,None,"2011-03-15 11:31:03.000000",None
83,"",0,None,None,"2017-03-23 13:05:38.495529",None
84,"CTO SpA",7,None,None,"2011-03-15 11:40:25.000000",None
85,"Double Fine Productions",3,https://images.igdb.com/igdb/image/upload//hjsys1q3bchmhx4bj3de.png,"Double Fine Productions is an award-winning, independent game development studio founded in 2000 by games industry veteran Tim Schafer. Located in San Franciscoâs South of Market district, Double Fine is committed to making high-quality games with an emphasis on originality, story, characters, and fun.","2011-03-16 04:03:30.000000",http://www.doublefine.com/
86,"",0,None,None,"2017-03-23 13:05:38.558224",None
87,"Mythic Entertainment",6,None,None,"2011-03-16 09:49:09.000000",None
88,"Shiny Entertainment",5,https://images.igdb.com/igdb/image/upload//e9i7xoikzpavnslrloig.png,None,"2011-03-16 10:32:14.000000",None
89,Shokwave,0,None,None,"2011-03-16 10:32:36.000000",None
90,"Neversoft Entertainment",5,https://images.igdb.com/igdb/image/upload//cuysbuhpfd5dhl5pnrjq.png,None,"2011-03-16 10:39:48.000000",None
91,"Playmates Interactive Entertainment",6,None,None,"2011-03-16 10:41:30.000000",None
92,NovaLogic,6,None,None,"2011-03-17 06:04:46.000000",None
93,"Square Enix 1st Production Department",38,None,None,"2011-03-17 07:48:11.000000",None
94,"EA Digital Illusions CE",6,https://images.igdb.com/igdb/image/upload//srtuszl5jkb0ykhzyt6l.png,"Founded in 1992 by four friends from the Amiga demo scene, DICE (then Digital Illusions) created the cult hit Pinball Dreams for the Amiga. Ten years later, the pivotal Battlefield 1942 would change the future of online gaming and DICE forever. Today, the studio develops Battlefield, Mirrorâs Edge and Star Wars Battlefront games. And we are just getting warmed up.","2011-03-17 08:07:26.000000",http://dice.se
95,"Disney Interactive",6,None,None,"2011-03-17 08:17:30.000000",None
96,"",0,None,None,"2017-03-23 13:05:38.905028",None
97,"New World Computing",13,https://images.igdb.com/igdb/image/upload//jgtqz9whpvzmmjwo28ix.png,None,"2011-03-18 03:31:48.000000",None
98,"",0,None,None,"2017-03-23 13:05:38.977423",None
99,"The 3DO Company",6,https://images.igdb.com/igdb/image/upload//lrhmkn7bnyncmj8ms6wn.png,None,"2011-03-18 03:41:22.000000",None
100,"Nival Interactive",6,None,None,"2011-03-18 04:04:35.000000",None
101,"Freeverse Software",6,None,None,"2011-03-18 04:04:59.000000",None
102,"",0,None,None,"2017-03-23 13:05:39.086011",None
103,"Black Hole Entertainment",6,https://images.igdb.com/igdb/image/upload//zfyxbzplscntbgyle5yq.png,"Black Hole Entertainment was a Budapest-based video game developer, founded in 2001 by seven young game enthusiasts.

Black Hole developed the sixth installment of the Heroes of Might and Magic series, Might &amp; Magic Heroes VI, in collaboration with Ubisoft. The title was released in October 2011, postponed from its original launch date of March. The studio was reported in various media to have gone bankrupt as a result of the nature of this development, and members of the company blamed Ubisoft for the mistake. As of July 2012, the company is no longer operating.","2011-03-18 04:30:01.000000",None
104,"Ubisoft Entertainment",8,https://images.igdb.com/igdb/image/upload//sv4ikl1a8k7gpatgcba8.png,"When my brothers and I created Ubisoft back in 1986, we started out with a simple motivation: work with passionate people and make fun games. Today, to continue surprising our millions of fans all over the world, we're always on the lookout for new ways to push back the boundaries of creativity and innovation. Beyond simple games, we strive to create immersive and engaging creative worlds that not only offer moments of pure fun, escapism and adventure, but also opportunities for learning and self-discovery. 

The video game industry is constantly evolving, and Ubisoft teams and I are eager to take up the next challenges in store so that you can have even more gaming pleasure.","2011-03-18 04:31:25.000000",http://www.ubi.com/
105,"",0,None,None,"2017-03-23 13:05:39.838935",None
106,"Loki Software",3,https://images.igdb.com/igdb/image/upload//lyiobxkionrbrleuscyd.png,"Loki Entertainment Software, Inc. was a video game developer based in Tustin, California, United States, that ported several video games from Microsoft Windows to Linux. It took its name from the Norse deity Loki.

Although successful in its goal of bringing games to the Linux platform, the company eventually closed due to financial troubles, with it declaring Chapter 11 Bankruptcy Protection in August 2001 and finally being disbanded in January 2002.

Excerpt from their archived website:
""Loki Entertainment Software contracts with successful computer entertainment software companies to port their best selling titles to Linux. A freeware Unix-like operating system, Linux has been dubbed the only true competitor to Windows and has established a solid following in the United States and abroad. Gaming software is an untapped segment of the Linux market with significant potential.

Unlike commercial operating systems developed solely for profit, Linux truly represents the ""power of the people."" Created in 1991 by Linus Torvalds, a Finnish developer, and made available for free over the Internet, Linux is continually being enhanced by thousands of volunteer developers and programmers around the globe. New capabilities are routinely shared and contributed as software developers have molded the versatile operating system to fit their company's specific needs. While most commercial operating systems go through five to seven revisions per year, Linux might see multiple revisions in a day. There is a virtually unlimited and growing pool of talent supporting the product.

Loki Entertainment Software was founded in August, 1998 with the goal of bringing a broad range of games to Linux. Loki generates revenues for game publishers by bringing proven hits to this significant, new market. Just as Hollywood studios are able to supplement profits by re-releasing movies to video, pay-per-view and international markets, the ports developed by Loki enable publishers to generate additional revenues from existing products without incurring additional costs.

For Linux users, Loki brings best selling games, fully supported and sold through traditional retail channels -- something the Linux community has been lacking until now. We are very proud of our commitment to Linux, and are excited about bringing a rich gaming experience to our platform of choice.""","2011-03-18 04:37:29.000000",http://www.lokigames.com/
107,"Lego Media",6,None,None,"2011-03-18 05:10:11.000000",None
108,Techland,6,https://images.igdb.com/igdb/image/upload//ecmindux8jbrrzq3pta1.png,"Since the company's foundation in 1991, Techland has been consistently reinforcing its position in the industry and in 2000 began to conquer international markets.

Initially, our activities were focused on the distribution of software in Poland. Later, towards the end of the nineties, we decided to commence the in-house production of computer software with the emphasis on video games. Currently, we create advanced high-budget games for all major platforms â the PC, Xbox 360, Xbox One, PlayStation 3 and PlayStation 4. The primary technology we use is our proprietary Chrome EngineÂ®, currently at version 6, middleware, and toolset continuously developed for over 10 years now. Using this top-notch technology, we have released over 20 games, including Dead Island and Call of Juarez series. We also develop mobile games for iOS devices.

Techland is a team of over two hundred dynamic people driven by ambition and creative passion. Our staff consists of highly experienced industry specialists and talented young apprentices from all fields. Every one of us perceives the electronic entertainment not only as their job but, more importantly, also as our lifetime passion and hobby. We achieve professional excellence by bringing ambitious projects to life and constant learning. Every day we push ourselves to realize our vision â deliver cutting-edge and attractive electronic entertainment.

See more at: http://company.techland.pl/about, Â©Techland","2011-03-18 19:45:05.000000",http://techland.pl/?lang=en
109,"",0,None,None,"2017-03-23 13:05:39.963094",None
110,"Focus Home Interactive",6,https://images.igdb.com/igdb/image/upload//il1xuq1sxep5pyiiigmm.png,"""Focus Home Interactive is a French publisher based in Paris, France. Known for the quality, diversity and originality of its catalogue, Focus has published and distributed original titles that have become benchmark titles worldwide, available both in store and for download across the world. Focus publishes games on all major platforms, consoles and PC.""","2011-03-18 19:47:15.000000",http://www.focus-home.com/
111,"The Creative Assembly",3,https://images.igdb.com/igdb/image/upload//o6o5mgw8vmtojqi510du.png,None,"2011-03-21 11:19:55.000000",http://www.creative-assembly.co.uk
112,Sega,84,https://images.igdb.com/igdb/image/upload//hbil3xrhnp8fdust2juk.png,"As one of the leading interactive entertainment companies, SEGA cultivates creative talent worldwide with offices in America, Japan and our European HQ in London. Our acclaimed UK based studios include Sports Interactive and The Creative Assembly who are responsible for award-winning titles and iconic franchises such as Football Managerâ¢, Aliensâ¢, and the Total Warâ¢ series. Hardlight, the newest UK studio in the SEGA family, are the talented team behind Sonic the Hedgehogâ¢'s latest adventures on mobile platforms Sonic Jumpâ¢ and Sonic Dashâ¢. SEGA's much loved blue hedgehog mascot is a true global brand crossing over from video games into toys, stationary, apparel and much more.

SEGA is growing and has recently completed an acquisition of Canada based Relic Entertainment Studio, famed for high quality strategy games including âWarhammer 40k Dawn of Warâ and the âCompany of Heroesâ series. We are determined to set new standards in interactive entertainment and are excited by the opportunity of welcoming such a talented development studio into the SEGA family.","2011-03-21 11:20:26.000000",http://www.sega.com/
113,"Westwood Studios",6,https://images.igdb.com/igdb/image/upload//ipmapbk4w62shfswq8ns.png,None,"2011-03-21 11:47:08.000000",None
114,"reLINE Software",16,None,None,"2011-03-23 06:18:38.000000",None
115,Codemasters,6,https://images.igdb.com/igdb/image/upload//lttald9cqqaxyucctqf1.png,None,"2011-03-23 08:46:13.000000",http://www.codemasters.com/uk/
116,"Bohemia Interactive Studio",6,https://images.igdb.com/igdb/image/upload//sbj7mzl8ex44r1bprrsn.png,None,"2011-03-23 08:46:43.000000",https://www.bistudio.com/
117,"Troika Games",6,https://images.igdb.com/igdb/image/upload//etgjcxonkgsyxgivzdlm.png,"Troika Games was a video game developer created by the key people behind the first part of the critically acclaimed Fallout series of games. The company was focused on role-playing video games between 1998 and 2005, best known for Arcanum: Of Steamworks and Magick Obscura and Vampire: The Masquerade â Bloodlines.","2011-03-24 03:44:23.000000",None
118,"Paradox Development",7,None,None,"2011-03-24 04:50:24.000000",None
119,"Mass Media Interactive Entertainment",0,None,None,"2011-03-24 04:51:48.000000",None
120,MacPlay,6,None,None,"2011-03-24 04:52:52.000000",None
121,"Blizzard Classic Arcade",13,None,None,"2011-03-24 04:54:03.000000",None
